0: 1 5 14 6 19, zy
253: 1 7 20 6 16 6 18 4 6 2 6 2 6 2 6 2 6 2 6 2 4 2 10 4 12 4 13, zy
254: 1 5 10 2 4 2 8 4 16 6 18 6 19 1 5 14 4 10 2 4 2 6 2 6 4 18 6 17, zy
255: 1 5 12 2 2 2 10 4 16 6 18 4 8 4 17 1 5 12 4 12 4 14 4 10 4 16 6 19, zy
256: 1 5 12 2 4 2 6 2 8 2 6 2 4 2 12 5 1 19 6 18 5 1 22 1 5 18 6 19, zy
257: 1 5 12 4 10 4 14 4 8 4 16 6 16 6 19 1 5 12 4 14 6 18 6 16 6 18 6 17, zy
258: 1 5 12 4 12 4 10 2 2 2 10 4 14 6 19 1 5 12 4 12 4 12 4 10 4 14 6 19, zy
259: 1 5 12 4 14 6 21 1 5 16 6 20 6 16 5 1 21 6 14 4 12 5 1 17 4 8 4 17, zy
260: 1 5 14 4 8 2 6 4 16 6 19 1 5 14 5 1 20 1 5 15 1 6 1 19 6 16 6 19, zy
261: 1 5 14 4 14 6 21 1 5 16 5 1 21 6 14 4 14 5 1 21 6 14 4 12 4 14 6 21, zy
262: 1 5 14 6 18 6 15 1 7 20 7 1 15 6 18 6 14 5 1 19 6 14 4 8 4 14 6 19, zy
263: 1 5 15 1 6 1 19 7 1 13 4 10 2 2 2 10 4 13 1 7 19 1 6 1 15 5 1 20, zy
264: 1 5 15 1 6 1 20 1 5 15 1 6 1 20 1 6 1 15 5 1 20 1 6 1 15 5 1 20, zy
265: 1 5 16 4 8 4 16 5 1 21 7 1 14 1 7 21 1 5 16 5 1 21 7 1 14 1 7 21, zy
266: 1 5 12 2 2 2 8 2 2 2 12 5 1 19 6 14 5 1 19 7 1 13 4 10 4 13 1 7 19, zy
267: 1 5 12 2 2 2 10 4 14 4 10 4 14 5 1 20 1 5 16 6 18 4 6 2 8 4 16 6 19, zy
268: 1 5 12 4 12 2 2 2 10 4 12 4 12 4 14 6 20 6 16 6 20 6 16 6 20 6 16 6 19, zy
